uuid,voter,winner,loser
abd61076-7716-4725-965b-a5d6c4e456a6,dummy_qf_qualifier_cascade,4fd42bf4-7588-5b79-aa89-9afdeaa42b7b,0bef89ec-117a-5500-a186-eb57a66faf6f
0412f823-1a77-41a9-8ff8-152620c42c54,dummy_qf_qualifier_cascade,4fd42bf4-7588-5b79-aa89-9afdeaa42b7b,0bef89ec-117a-5500-a186-eb57a66faf6f
f3ae1267-dbf3-4f83-8103-f342284db45a,dummy_qf_qualifier_cascade,4fd42bf4-7588-5b79-aa89-9afdeaa42b7b,0bef89ec-117a-5500-a186-eb57a66faf6f
d93212f0-d260-4d16-a150-b171042596f5,dummy_qf_qualifier_cascade,4fd42bf4-7588-5b79-aa89-9afdeaa42b7b,0bef89ec-117a-5500-a186-eb57a66faf6f
e9cfbc32-929f-4585-90f6-99577ab9c45d,dummy_qf_qualifier_cascade,7c0800da-5d5c-5951-a453-f5ae5a4b7983,fc85fb58-7250-52d6-a0b0-f6de11fef2b0
2ce53056-d15d-47d8-a1fd-ec3d547bd52f,dummy_qf_qualifier_cascade,7c0800da-5d5c-5951-a453-f5ae5a4b7983,fc85fb58-7250-52d6-a0b0-f6de11fef2b0
7b3c85c5-23e9-42f6-bab3-c91e16805470,dummy_qf_qualifier_cascade,7c0800da-5d5c-5951-a453-f5ae5a4b7983,fc85fb58-7250-52d6-a0b0-f6de11fef2b0
bf767641-f6a2-40ce-9646-6ab1e561b58b,dummy_qf_qualifier_cascade,7c0800da-5d5c-5951-a453-f5ae5a4b7983,fc85fb58-7250-52d6-a0b0-f6de11fef2b0
c5aac953-e727-4d3b-b971-f69eed066363,dummy_qf_qualifier_cascade,2a23f785-f505-556d-8b92-91192db270ab,0194e097-6e07-549f-8b05-8dbf0f6df147
8aae6b33-d48b-48dd-bde4-1bc005c31d09,dummy_qf_qualifier_cascade,2a23f785-f505-556d-8b92-91192db270ab,0194e097-6e07-549f-8b05-8dbf0f6df147
d8bdca7a-3b1d-44e2-8b48-120240332b4f,dummy_qf_qualifier_cascade,2a23f785-f505-556d-8b92-91192db270ab,0194e097-6e07-549f-8b05-8dbf0f6df147
ee3c2665-8b1c-46ea-9da2-29a268fe636a,dummy_qf_qualifier_cascade,2a23f785-f505-556d-8b92-91192db270ab,0194e097-6e07-549f-8b05-8dbf0f6df147
e2306aa0-4c95-4810-9510-f3fab35793e7,dummy_qf_qualifier_cascade,c5b49b90-4b9f-5728-ad6f-b92fed1942e0,3725f21d-f198-582f-b27b-a57e116fe7ef
3b5bdb34-37c6-49bc-b280-abe9a1b06642,dummy_qf_qualifier_cascade,c5b49b90-4b9f-5728-ad6f-b92fed1942e0,3725f21d-f198-582f-b27b-a57e116fe7ef
f31aaebe-292b-4fb7-9668-d44d392df812,dummy_qf_qualifier_cascade,c5b49b90-4b9f-5728-ad6f-b92fed1942e0,3725f21d-f198-582f-b27b-a57e116fe7ef
ebcd7141-2a74-46e1-abca-811d5527ef1c,dummy_qf_qualifier_cascade,c5b49b90-4b9f-5728-ad6f-b92fed1942e0,3725f21d-f198-582f-b27b-a57e116fe7ef
d1549d2a-a4fd-4783-8def-90b426f62212,dummy_qf_qualifier_cascade,2c0112db-94b0-58a7-9792-9bf93b89e719,e853e2af-a668-5b94-8c4f-2651c7cf0205
d60de368-9353-485a-a53b-3ed011670c12,dummy_qf_qualifier_cascade,2c0112db-94b0-58a7-9792-9bf93b89e719,e853e2af-a668-5b94-8c4f-2651c7cf0205
9ae5e51a-a06e-4b5a-8c3b-a9136d7bb7ca,dummy_qf_qualifier_cascade,2c0112db-94b0-58a7-9792-9bf93b89e719,e853e2af-a668-5b94-8c4f-2651c7cf0205
079514f4-7add-4ad4-afb6-528d4fd5216c,dummy_qf_qualifier_cascade,2c0112db-94b0-58a7-9792-9bf93b89e719,e853e2af-a668-5b94-8c4f-2651c7cf0205
6571b982-a913-4bd5-9f2c-51f9b85320e5,dummy_qf_qualifier_cascade,48aa7815-fe1f-5d62-9f97-67b635f7fbed,ec75264c-01ed-5ded-9acb-5323faf322d8
c39e296d-ced2-4bfd-a11b-83ff04c17fd1,dummy_qf_qualifier_cascade,48aa7815-fe1f-5d62-9f97-67b635f7fbed,ec75264c-01ed-5ded-9acb-5323faf322d8
9aea216a-5d7f-4a1e-a5af-70ed4dd82722,dummy_qf_qualifier_cascade,48aa7815-fe1f-5d62-9f97-67b635f7fbed,ec75264c-01ed-5ded-9acb-5323faf322d8
abe724a3-85fc-46f9-add0-4036e8a096d7,dummy_qf_qualifier_cascade,48aa7815-fe1f-5d62-9f97-67b635f7fbed,ec75264c-01ed-5ded-9acb-5323faf322d8
3b628a52-7cb6-4717-a49c-633a51002eb7,dummy_qf_qualifier_cascade,2d64f64f-0094-58e1-950a-58ab0ad1c752,9826f53a-b431-50f9-8ca2-d2c70de85e5d
5cce5ab1-1bfb-4c5f-8e29-74d9c9f6636c,dummy_qf_qualifier_cascade,2d64f64f-0094-58e1-950a-58ab0ad1c752,9826f53a-b431-50f9-8ca2-d2c70de85e5d
bbe0615b-a05e-4a98-a77f-819b844e88c4,dummy_qf_qualifier_cascade,2d64f64f-0094-58e1-950a-58ab0ad1c752,9826f53a-b431-50f9-8ca2-d2c70de85e5d
cfc84a1f-4b43-45f0-93a0-0205b8aac55c,dummy_qf_qualifier_cascade,2d64f64f-0094-58e1-950a-58ab0ad1c752,9826f53a-b431-50f9-8ca2-d2c70de85e5d
5658d549-8bf3-4d87-aad4-bcf8a48dbe0f,dummy_qf_qualifier_cascade,5227be60-398e-5f67-bae4-d70744b51bcc,2f328fb8-cfc8-5331-bbd3-155b23fe42bd
